run_id,config_id,repeat_id,n,maxite,bestfun,bpso_elapsed_sec
1,1,1,1000,50,806.418744087219,505.592567
2,1,2,1000,50,806.011875152588,492.258016
3,1,3,1000,50,805.444460391998,500.530435
