mode,repeat_id,seed,init_bestfun,final_bestfun
good (seed),NaN,NaN,NaN,807.090934276581
random,2,9002,781.104054927826,807.403331756592
mixed,3,10003,801.848890781403,807.734042167664
warm,3,11003,806.232611656189,807.509934425354
