mode,num_repeats,mean_init_bestfun,mean_final_bestfun,std_final_bestfun,min_final_bestfun,mean_iters_to_threshold,median_iters_to_threshold,runs_reaching_threshold,num_failures
random,5,785.014531993866,806.824571800232,0.607768469506835,805.918776512146,6.2,6,5,0
mixed,5,803.777460289002,807.391930770874,0.231316586655598,807.183000564575,0,0,5,0
warm,5,806.660500240326,807.344648551941,0.136837652772825,807.220494270325,0,0,5,0
