mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec,actual_iterations,stop_reason
mixed,1000,50,1,10001,778.588585853577,803.292950153351,18,0.05,0.1,504.468616,45,plateau
mixed,1000,50,2,10002,784.014614582062,802.442056655884,11,0.05,0.1,288.03743,24,plateau
mixed,1000,50,3,10003,786.563539505005,805.273395061493,13,0.05,0.1,433.689006,36,plateau
mixed,1000,50,4,10004,776.019833564758,804.9933552742,13,0.05,0.1,463.317575,42,plateau
mixed,1000,50,5,10005,785.769996166229,797.234793663025,NaN,0.05,0.1,118.573719,10,plateau
