run_id,label,c1,c2,wmax,wmin,n,maxite,bestfun,bpso_elapsed_sec
1,low,1,1,0.9,0.4,1000,50,804.692417144775,493.854492
2,default,2,2,0.9,0.4,1000,50,794.534200668335,506.270887
3,high,3,3,0.9,0.4,1000,50,808.406374931335,502.549061
