run_id,config_id,repeat_id,n,maxite,bestfun,bpso_elapsed_sec
1,1,1,1000,100,808.967569351196,927.396632
2,1,2,1000,100,808.258049964905,917.362702
3,1,3,1000,100,806.692763328552,1012.430651
