mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec
random,1000,50,1,9001,794.017004966736,803.713673114777,14,0.05,0.1,544.074117
random,1000,50,2,9002,780.244149208069,802.0485663414,25,0.05,0.1,541.575586
random,1000,50,3,9003,780.170991897583,804.567170143127,14,0.05,0.1,552.776727
random,1000,50,4,9004,785.35472869873,802.631497859955,10,0.05,0.1,552.544452
random,1000,50,5,9005,784.005675792694,804.964178085327,5,0.05,0.1,553.75571
