mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec,actual_iterations,stop_reason
warm,1000,50,1,11001,796.775938987732,802.251956939697,18,0.05,0.1,549.164706,48,plateau
warm,1000,50,2,11002,790.905320644379,801.472723007202,14,0.05,0.1,454.261292,41,plateau
warm,1000,50,3,11003,794.800135135651,803.543705463409,4,0.05,0.1,344.371645,30,plateau
warm,1000,50,4,11004,792.423172473907,801.878055095673,25,0.05,0.1,572.143286,50,max_iterations
warm,1000,50,5,11005,796.967257499695,802.850341320038,13,0.05,0.1,579.536344,49,plateau
