mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec
random,1000,50,1,9001,777.149743080139,806.549577713013,12,0.05,0.1,466.259134
random,1000,50,2,9002,781.104054927826,807.403331756592,3,0.05,0.1,471.773029
random,1000,50,3,9003,793.039630889893,807.306224822998,6,0.05,0.1,466.231178
random,1000,50,4,9004,785.666006088257,805.918776512146,6,0.05,0.1,499.056017
random,1000,50,5,9005,788.113224983215,806.944948196411,4,0.05,0.1,466.521143
