mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec,actual_iterations,stop_reason
warm,1000,50,1,11001,789.125015258789,803.754316329956,6,0.05,0.1,531.874957,47,plateau
warm,1000,50,2,11002,797.985243320465,800.749593734741,13,0.05,0.1,345.465733,29,plateau
warm,1000,50,3,11003,789.894551753998,802.61823797226,13,0.05,0.1,310.578774,28,plateau
warm,1000,50,4,11004,797.130531311035,803.788192749023,3,0.05,0.1,458.690015,41,plateau
warm,1000,50,5,11005,793.125196456909,803.211032390594,4,0.05,0.1,303.587038,30,plateau
