mode,source,num_repeats,mean_init_bestfun,mean_final_bestfun,std_final_bestfun,min_final_bestfun,mean_iters_to_threshold,median_iters_to_threshold,runs_reaching_threshold,num_failures,mean_actual_iterations,num_plateau_stops,mean_elapsed_sec,std_elapsed_sec,speedup_vs_random
random,baseline,5,784.758510112762,803.585017108917,1.24027636723127,802.0485663414,13.6,14,5,0,50,0,548.9453184,5.67483216939332,1
mixed,earlystop,5,782.191313934326,802.647310161591,3.24632732559836,797.234793663025,13.75,13,4,0,31.4,5,361.6172692,158.451849751173,1.51802849353523
warm,earlystop,5,794.374364948273,802.399356365204,0.816249544022322,801.472723007202,14.8,14,5,0,43.6,4,499.8954546,100.324488148012,1.09812024364024
