mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec
mixed,1000,50,1,10001,802.542888641357,807.288924217224,0,0.05,0.1,464.245319
mixed,1000,50,2,10002,801.752280235291,807.522225379944,0,0.05,0.1,467.065125
mixed,1000,50,3,10003,801.848890781403,807.734042167664,0,0.05,0.1,483.740365
mixed,1000,50,4,10004,806.536986351013,807.231461524963,0,0.05,0.1,554.803356
mixed,1000,50,5,10005,806.206255435944,807.183000564575,0,0.05,0.1,478.626858
