mode,repeat_id,final_bestfun,s11_png
random,1,803.713673114777,/MATLAB Drive/pixelant/warm-start-experiment/warmstart_3.5ghz_results/random/s11_random_rep1.png
random,2,802.0485663414,/MATLAB Drive/pixelant/warm-start-experiment/warmstart_3.5ghz_results/random/s11_random_rep2.png
random,3,804.567170143127,/MATLAB Drive/pixelant/warm-start-experiment/warmstart_3.5ghz_results/random/s11_random_rep3.png
random,4,802.631497859955,/MATLAB Drive/pixelant/warm-start-experiment/warmstart_3.5ghz_results/random/s11_random_rep4.png
random,5,804.964178085327,/MATLAB Drive/pixelant/warm-start-experiment/warmstart_3.5ghz_results/random/s11_random_rep5.png
