run_id,config_id,repeat_id,n,maxite,bestfun,bpso_elapsed_sec
1,1,1,500,50,801.38600063324,282.089661
2,1,2,500,50,805.888729572296,285.187634
3,1,3,500,50,788.514683246613,283.523191
4,1,4,500,50,654.560308456421,286.81363
5,1,5,500,50,803.100429534912,281.432603
6,1,6,500,50,693.301809310913,285.26404
7,1,7,500,50,791.990518569946,282.976743
8,1,8,500,50,806.218459129333,278.573945
9,1,9,500,50,805.57363319397,283.694251
10,1,10,500,50,801.594730854034,287.366008
