run_id,config_id,repeat_id,n,maxite,bestfun,bpso_elapsed_sec
1,1,1,1000,50,806.245992183685,658.464163
2,1,2,1000,50,801.444089412689,814.460946
3,1,3,1000,50,807.090934276581,748.116502
4,1,4,1000,50,806.565322875977,611.750284
5,1,5,1000,50,793.663824081421,759.637469
6,1,6,1000,50,798.944762229919,762.974661
7,1,7,1000,50,799.589871883392,617.305724
8,1,8,1000,50,806.779406547546,584.056806
9,1,9,1000,50,805.378464221954,755.138238
10,1,10,1000,50,708.993230342865,827.365467
