mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec,actual_iterations,stop_reason
warm,1000,50,1,11001,806.149137496948,807.367104530334,0,0.05,0.1,179.284296,16,plateau
warm,1000,50,2,11002,806.66565990448,807.164157867432,0,0.05,0.1,169.918933,15,plateau
warm,1000,50,3,11003,806.232611656189,807.509934425354,0,0.05,0.1,224.712763,24,plateau
warm,1000,50,4,11004,807.090934276581,807.164157867432,0,0.05,0.1,117.090842,12,plateau
warm,1000,50,5,11005,807.164157867432,807.164157867432,0,0.05,0.1,89.909722,9,plateau
