mode,n,maxite,repeat_id,seed,init_bestfun,final_bestfun,iters_to_threshold,flip_rate,seed_fraction,elapsed_sec,actual_iterations,stop_reason
mixed,1000,50,1,10001,802.542888641357,807.164157867432,0,0.05,0.1,131.02252,13,plateau
mixed,1000,50,2,10002,801.752280235291,807.096091270447,0,0.05,0.1,137.010253,14,plateau
mixed,1000,50,3,10003,801.848890781403,807.258340835571,0,0.05,0.1,255.255752,26,plateau
mixed,1000,50,4,10004,806.536986351013,807.164157867432,0,0.05,0.1,160.549407,13,plateau
mixed,1000,50,5,10005,806.206255435944,807.164157867432,0,0.05,0.1,188.779031,17,plateau
